2412.TW,High,Low,Open,Close,d_Close,RSI9,RSI15,MA5,MA20,MA60,d_CO,d_HL,Adj_Close,Volume,VA/D,VA/D_r,d_MA5/20
2009-01-05,52.40,51.0999,52.00,51.1999,0.0,0.0,0.0,51.1999,51.1999,51.1999,-0.8001,1.3001,30.2223,48.5199,48.5199,0.0,0.0
2009-01-06,51.1999,50.50,50.70,50.60,-0.5999,0.0,0.0,50.89995,50.89995,50.89995,-0.1,0.6999,29.8682,53.8318,10.070811816,0.0,0.0
2009-01-07,50.90,50.30,50.50,50.50,-0.1,0.0,0.0,50.7666333333,50.7666333333,50.7666333333,0.0,0.6,29.8092,83.5791,-17.788888184,0.0,0.0
2009-01-08,50.90,49.9999,50.0999,49.9999,-0.5001,0.0,0.0,50.57495,50.57495,50.57495,-0.1,0.9001,29.514,63.5624,-81.351288184,0.0,0.0
2009-01-09,50.70,50.0999,50.20,50.30,0.3001,0.200053329778,0.200053329778,50.51996,50.51996,50.51996,0.1,0.6001,29.6911,20.9033,-88.314410447,0.0,0.0
2009-01-12,52.00,51.00,51.00,51.60,1.3,0.571443877004,0.571443877004,50.59998,50.6999666667,50.6999666667,0.6,1.0,30.4585,58.6509,-76.584230447,0.0,-0.0999866666667
2009-01-13,52.1999,51.70,52.00,52.00,0.4,0.625011718384,0.625011718384,50.87998,50.8856857143,50.8856857143,0.0,0.4999,30.6946,34.2287,-69.7302739157,0.0,-0.00570571428572
2009-01-14,52.00,51.50,51.90,51.50,-0.5,0.540552958028,0.540552958028,51.07998,50.962475,50.962475,-0.4,0.5,30.3994,18.8837,-88.6139739157,0.0,0.117505
2009-01-15,51.50,50.60,50.90,50.90,-0.6,0.465128717937,0.465128717937,51.26,50.9555333333,50.9555333333,0.0,0.9,30.0453,41.5437,-102.461873916,0.0,0.304466666667
2009-01-16,51.30,50.80,51.30,51.1999,0.2999,0.5,0.5,51.43998,50.97997,50.97997,-0.1001,0.5,30.2223,18.7462,-91.2216523957,0.0,0.46001
2009-01-19,51.40,50.90,51.30,51.0999,-0.1,0.560961927758,0.489361702128,51.33996,50.9908727273,50.9908727273,-0.2001,0.5,30.1633,12.9228,-93.8113815157,0.0,0.349087272727
2009-01-20,51.50,50.80,51.0999,51.0999,0.0,0.574985625359,0.489361702128,51.15994,50.9999583333,50.9999583333,0.0,0.7,30.1633,20.9759,-96.8139317728,0.0,0.159981666667
