2308.TW,High,Low,Open,Close,d_Close,RSI9,RSI15,MA5,MA20,MA60,d_CO,d_HL,Adj_Close,Volume,VA/D,d_VA/D,%R8,%R21,DIF,DEM,d_MA5/20
2000-01-04,70.5485,67.6091,67.6091,68.8339,0.0,0.0,0.0,68.8339,68.8339,68.8339,1.2248,2.9394,32.4469,70.2175,70.2175,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-05,69.0787,66.8742,67.6091,67.3641,-1.4698,0.0,0.0,68.099,68.099,68.099,-0.245,2.2045,31.7541,46.7313,44.2561377364,-25.9613622636,-1.0,-1.0,-0.102592877493,-0.0205185754986,0.0
2000-01-06,71.5284,68.099,68.099,71.5284,4.1643,0.739124261195,0.739124261195,69.2421333333,69.2421333333,69.2421333333,3.4294,3.4294,33.7171,117.8158,162.071937736,117.8158,0.0,0.0,0.0575752997135,-0.00489980045617,0.0
2000-01-07,71.0384,68.5888,71.0384,69.5688,-1.9596,0.548388795976,0.548388795976,69.3238,69.3238,69.3238,-1.4696,2.4496,32.7933,59.6264,150.154446946,-11.9174907903,-1.0,-1.0,0.104242386702,0.0169286369754,0.0
2000-01-10,73.978,69.8136,70.3035,73.978,4.4092,0.714285714286,0.714285714286,70.25464,70.25464,70.25464,3.6745,4.1644,34.8718,94.6999,244.854346946,94.6999,0.0,0.0,0.398533211132,0.0932495518067,0.0
2000-01-11,78.8771,74.9577,78.8771,75.4478,1.4698,0.745455625079,0.745455625079,71.57742,71.1201666667,71.1201666667,-3.4293,3.9194,35.5646,209.5942,87.6774135788,-157.176933367,-0.461531214672,-0.461531214672,0.883477495673,0.25129514058,0.457253333333
2000-01-12,80.3469,75.4478,76.4275,80.3469,4.8991,0.813333478483,0.813333478483,74.17398,72.4382714286,72.4382714286,3.9194,4.8991,37.8739,129.8384,217.515813579,129.8384,0.0,0.0,1.48784350213,0.49860481289,1.73570857143
2000-01-13,80.3469,76.4275,80.3469,77.4074,-2.9395,0.701149155612,0.701149155612,75.34978,73.0594125,73.0594125,-2.9395,3.9194,36.4883,94.8283,170.104083038,-47.4117305404,-1.0,-1.0,1.84668731343,0.768221312998,2.2903675
2000-01-14,79.3671,75.4478,78.3872,76.9174,-0.49,0.685390320761,0.685390320761,76.8195,73.4880777778,73.4880777778,-1.4698,3.9193,36.2573,74.6352,151.440046215,-18.6640368229,-0.687507973363,-0.687507973363,2.04816537284,1.02421012497,3.33142222222
2000-01-17,82.7966,80.3469,82.3066,80.8368,3.9194,0.733331518971,0.733331518971,78.19126,74.22295,74.22295,-1.4698,2.4497,38.1048,90.4168,97.1870134686,-54.2530327469,-0.124984053275,-0.124984053275,2.50510441799,1.32038898357,3.96831
2000-01-18,83.2865,80.3469,81.8167,81.3268,0.49,0.782178497953,0.738316794286,79.36706,74.8687545455,74.8687545455,-0.4899,2.9396,38.3358,96.7438,64.9412741707,-32.2457392979,-0.562485647947,-0.562485647947,2.86387114091,1.62908541504,4.49830545455
2000-01-19,80.8368,76.9174,80.3469,77.4074,-3.9194,0.61999918354,0.642274668853,78.77916,75.0803083333,75.0803083333,-2.9395,3.9194,36.4883,80.6885,4.42798721355,-60.5132869572,-1.0,-1.0,2.8387411245,1.87101655693,3.69885166667
2000-01-20,77.8973,75.4478,76.4275,76.9174,-0.49,0.659569016433,0.631996629665,78.68116,75.2216230769,75.2216230769,0.4899,2.4495,36.2573,40.0928,12.4432736638,8.0152864503,-0.611113001077,-0.611113001077,2.67922711022,2.03265866759,3.45953692308
2000-01-21,79.3671,76.9174,77.4074,76.9174,0.0,0.57894312786,0.631996629665,78.68116,75.34275,75.34275,-0.49,2.4497,36.2573,51.7079,-39.2646263362,-51.7079,-0.555547995691,-0.555547995691,2.58233975305,2.14259488468,3.33841
2000-01-24,78.3872,76.4275,78.3872,76.4275,-0.4899,0.527773525426,0.622044358727,77.7993,75.4150666667,75.4150666667,-1.9597,1.9597,36.0264,32.4852,-71.7498263362,-32.4852,-0.562496810736,-0.61110166128,2.42815006007,2.19970591976,2.38423333333
2000-01-25,76.4275,74.9577,75.9377,74.9577,-1.4698,0.310346283784,0.593981546848,76.52548,75.38648125,75.38648125,-0.98,1.4698,35.3336,31.7758,-103.525626336,-31.7758,-0.687503189264,-0.722220332256,2.15265585549,2.1902959069,1.13899875
2000-01-26,77.4074,75.4478,75.9377,76.4275,1.4698,0.461537253794,0.639095390395,76.3295,75.4477176471,75.4477176471,0.4898,1.9596,36.0264,31.2555,-103.528816324,-0.00318998775271,-0.312496810736,-0.388875659126,2.00022186779,2.15228109908,0.881782352941
2000-01-27,77.4074,75.4478,76.9174,75.4478,-0.9797,0.444451164197,0.56666734705,76.03558,75.4477222222,75.4477222222,-1.4696,1.9596,35.5646,30.2965,-133.825316324,-30.2965,-0.454520151414,-0.666643987073,1.81892262537,2.08560940434,0.587857777778
2000-01-28,78.3872,74.9577,74.9577,76.4275,0.9797,0.285712897174,0.620686742706,75.9376,75.4992894737,75.4992894737,1.4698,3.4295,36.0264,52.8057,-141.368547824,-7.54323150022,-0.0909411415423,-0.444452004309,1.70499304655,2.00948613278,0.438310526316
2000-01-31,79.3671,77.8973,78.3872,77.8973,1.4698,0.347822614283,0.576921718173,76.23156,75.61919,75.61919,-0.4899,1.4698,36.7193,48.4893,-189.857847824,-48.4893,0.0,-0.388875659126,1.73309302842,1.95420751191,0.61237
2000-02-01,78.8771,76.9174,78.8771,77.8973,0.0,0.533332426143,0.551018282853,76.81948,76.07236,75.7276714286,-0.9798,1.9597,36.7193,34.18,-189.85610368,0.00174414451197,-0.5,-0.555547995691,1.70604409082,1.90457482769,0.74712
2000-02-09,80.3469,78.3872,79.857,78.8771,0.9798,0.625004784079,0.463413784177,77.3094,76.64801,75.8708272727,-0.9799,1.9597,37.1811,61.3002,-220.5077677,-30.65166402,-0.166689345489,-0.444440664512,1.76311464865,1.87628279188,0.66139
2000-02-10,80.3469,77.4074,78.8771,77.8973,-0.9798,0.55556059558,0.513512917124,77.7993,76.966455,75.9589347826,-0.9798,2.9395,36.7193,33.4551,-242.811547074,-22.303779374,-0.833310654511,-0.66665532687,1.7291150612,1.84684924575,0.832845
2000-02-11,81.3268,77.4074,78.3872,79.3671,1.4698,0.650007144169,0.564105113859,78.38722,77.45637,76.1009416667,0.9799,3.9194,37.4121,92.2111,-242.811547074,-3.27825546265e-13,-5.80129601372e-15,-0.388875659126,1.76093885952,1.8296671685,0.93085
2000-02-14,80.8368,77.8973,79.857,78.3872,-0.9799,0.684217311432,0.424242611675,78.4852,77.67683,76.192392,-1.4698,2.9395,36.9502,63.5148,-285.155467319,-42.3439202449,-1.0,-0.666666666667,1.72671803074,1.80907734095,0.80837
2000-02-15,78.8771,76.4275,78.3872,77.4074,-0.9798,0.55556059558,0.382351175468,78.38722,77.77481,76.2391230769,-0.9798,2.4496,36.4883,28.7622,-290.906498328,-5.75103100914,-0.999959178675,-0.66665532687,1.57275421296,1.76181271535,0.61241
2000-02-16,78.3872,76.9174,78.3872,76.9174,-0.49,0.588226112432,0.481478401548,77.99528,77.603335,76.2642444444,-1.4698,1.4698,36.2573,28.5959,-319.502398328,-28.5959,-0.80001632853,-0.611113001077,1.41466000573,1.69238217343,0.391945
2000-02-17,78.3872,76.9174,77.4074,76.9174,0.0,0.533331519003,0.5,77.7993,77.578835,76.2875714286,-0.49,1.4698,36.2573,36.6835,-356.185898328,-36.6835,-0.599991835735,-0.5,1.27467554131,1.608840847,0.220465
2000-02-18,77.8973,75.9377,77.8973,75.9377,-0.9797,0.357147022803,0.464290140332,77.11342,77.52985,76.2755068966,-1.9596,1.9596,35.7955,31.1844,-387.370298328,-31.1844,-0.99991835735,-0.624980864418,1.08209027099,1.5034907318,-0.41643
2000-02-21,74.9577,71.5284,74.9577,71.5284,-4.4093,0.217392461906,0.361112213598,75.74166,77.06443,76.11727,-3.4293,3.4293,33.7171,35.8156,-423.185898328,-35.8156,-1.0,-1.0,0.596444087458,1.32208140293,-1.32277
2000-02-22,73.4881,70.7935,71.0384,73.4881,1.9597,0.280004898759,0.459463336055,74.9578,76.672495,76.0324580645,2.4497,2.6946,34.6408,42.7256,-380.460298328,42.7256,0.0,0.0,0.243355264602,1.10633617527,-1.714695
2000-02-23,74.4679,71.7733,73.4881,71.7733,-1.7148,0.264153123315,0.373333043033,73.92898,76.39079,75.899359375,-1.7148,2.6946,33.8325,28.8299,-409.290198328,-28.8299,-0.576935154655,-0.576935154655,-0.0653707962058,0.871994780972,-2.46181
2000-02-24,72.9981,71.5284,72.9981,71.7733,0.0,0.170213320363,0.394362957895,72.90016,76.133585,75.7743272727,-1.2248,1.4697,33.8325,23.0273,-424.643298464,-15.3531001361,-0.307693515466,-0.307693515466,-0.340701518534,0.629455521071,-3.233425
2000-02-25,73.2431,72.0183,72.0183,72.0183,0.245,0.204549882635,0.36765041363,72.11628,75.88863,75.6638558824,0.0,1.2248,33.948,22.132,-446.775298464,-22.132,-0.269225938138,-0.269225938138,-0.52810562841,0.397943291175,-3.77235
2000-02-29,73.978,72.5082,73.978,72.5082,0.4899,0.261906613273,0.328126295647,72.31224,75.692665,75.5736942857,-1.4698,1.4698,34.1789,17.3319,-464.107198464,-17.3319,-0.230774061862,-0.230774061862,-0.624947530695,0.193365126801,-3.380425
2000-03-01,74.4679,72.9981,73.978,73.2431,0.7349,0.325586473375,0.358210864956,72.26324,75.606935,75.5089555556,-0.7349,1.4698,34.5253,17.6723,-475.887930223,-11.7807317594,-0.192306484534,-0.192306484534,-0.644846485127,0.0257228044152,-3.343695
2000-03-02,73.4881,72.0183,73.4881,72.0183,-1.2248,0.29167127342,0.294121531572,72.31224,75.386475,75.4146135135,-1.4698,1.4698,33.948,13.3042,-489.192130223,-13.3042,-0.5,-0.5,-0.741020919681,-0.127625940404,-3.074235
2000-03-03,72.7532,71.2834,72.2632,72.0183,0.0,0.31818266162,0.312503189264,72.36124,75.215,75.3252368421,-0.2449,1.4698,33.948,12.2518,-489.192130223,-1.19209289551e-13,-0.533324261804,-0.307693515466,-0.83723882801,-0.269548517925,-2.85376
2000-03-06,72.5082,71.0384,72.5082,71.2834,-0.7349,0.482756193694,0.229510061769,72.21426,74.957795,75.2216,-1.2248,1.4698,33.6016,15.179,-499.310775073,-10.1186448496,-0.599991835735,-0.423080546397,-0.942166376381,-0.404072089616,-2.743535
2000-03-07,72.5082,70.7935,71.0384,72.2632,0.9798,0.399993468428,0.29508251576,72.16526,74.67609,75.14764,1.2248,1.7147,34.0634,20.8838,-484.394819011,14.9159560623,0.0,-0.153854608259,-0.979441334492,-0.519145938591,-2.51083
2000-03-08,73.978,72.0183,72.7532,72.7532,0.49,0.600004082216,0.338986217204,72.06728,74.418885,75.0892390244,0.0,1.9597,34.2944,24.0063,-490.396087761,-6.00126875032,-0.222171822553,-0.23075836081,-0.924201015809,-0.600156954035,-2.351605
2000-03-09,75.9377,73.4881,73.4881,75.9377,3.1845,0.757576882159,0.471432820327,72.85116,74.271915,75.1094404762,2.4496,2.4496,35.7955,41.3179,-449.078187761,41.3179,0.0,0.0,-0.674977677629,-0.615121098754,-1.420755
2000-03-10,76.9174,73.978,76.9174,73.978,-1.9597,0.6,0.423080546397,73.2431,74.07595,75.083127907,-2.9394,2.9394,34.8718,32.8462,-481.924387761,-32.8462,-1.0,-0.677421054018,-0.520881584439,-0.596273195891,-0.83285
2000-03-13,73.2431,68.8339,71.2834,68.8339,-5.1441,0.372885343223,0.347370592229,72.7532,73.54929,74.9411,-2.4495,4.4092,32.4469,47.0414,-528.965787761,-47.0414,-1.0,-1.0,-0.775258359467,-0.632070228606,-0.79609
2000-03-14,71.0384,68.8339,69.0787,70.3035,1.4696,0.403222408049,0.469877088487,72.36126,73.145105,74.8380422222,1.2248,2.2045,33.1397,29.1923,-519.236786713,9.72900104786,-0.205904954014,-0.205904954014,-0.951073401332,-0.695870863151,-0.783845
2000-03-15,71.5284,69.5688,70.7935,69.5688,-0.7347,0.416668367659,0.397436501332,71.72438,72.753175,74.7234934783,-1.2247,1.9596,32.7933,29.2724,-548.509186713,-29.2724,-0.47057128449,-0.47057128449,-1.08285785406,-0.773268261333,-1.028795
2000-03-16,72.7532,65.6493,69.5688,72.0183,2.4495,0.5,0.506173959499,70.9405,72.50822,74.6659361702,2.4495,7.1039,33.948,48.2804,-510.218022474,38.2911642394,-0.0882501260716,-0.0882501260716,-1.12980712211,-0.844576033488,-1.56772
2000-03-17,72.9981,70.5485,72.0183,70.5485,-1.4698,0.479451058904,0.471263936334,70.2546,72.189775,74.58015625,-1.4698,2.4496,33.2552,37.6157,-547.833722474,-37.6157,-0.558833417381,-0.558833417381,-1.10975105437,-0.897611037664,-1.935175
2000-03-20,68.099,68.099,68.099,68.099,-2.4495,0.392405717416,0.416666312293,70.10762,71.79784,74.4478877551,0.0,0.0,32.1005,2.2467,-547.833722474,0.0,-0.676464231684,-0.676464231684,-1.32564500638,-0.983217831407,-1.69022
