2454.TW,High,Low,Open,Close,d_Close,RSI9,RSI15,MA5,MA20,MA60,d_CO,d_HL,Adj_Close,Volume,VA/D,d_VA/D,%R8,%R21,DIF,DEM,d_MA5/20
2001-07-24,103.7257,100.7809,102.744,103.3984,0.0,0.0,0.0,103.3984,103.3984,103.3984,0.6544,2.9448,47.5321,71.645,71.645,0.0,0.0,0.0,0.0,0.0,0.0
2001-07-25,110.5971,103.3984,103.3984,110.5971,7.1987,1.0,1.0,106.99775,106.99775,106.99775,7.1987,7.1987,50.8413,28.2553,99.9003,28.2553,0.0,0.0,0.476364957265,0.095272991453,0.0
2001-07-26,118.1229,113.542,114.5237,118.1229,7.5258,1.0,1.0,110.706133333,110.706133333,110.706133333,3.5992,4.5809,54.3009,19.3214,119.2217,19.3214,0.0,0.0,1.49671226045,0.375560845253,0.0
2001-07-27,123.031,117.1413,121.0678,117.7957,-0.3272,0.978261591714,0.978261591714,112.478525,112.478525,112.478525,-3.2721,5.8897,54.1506,18.2227,105.048420133,-14.1732798665,-1.0,-1.0,2.43568564887,0.787585805976,0.0
2001-07-31,125.976,117.1413,117.7957,125.976,8.1803,0.985915977961,0.985915977961,115.17802,115.17802,115.17802,8.1803,8.8347,57.911,23.6172,128.665620133,23.6172,0.0,0.0,3.52860342442,1.33578932967,0.0
2001-08-01,127.2849,119.4318,126.9577,120.7407,-5.2353,0.804600366034,0.804600366034,118.64648,116.105133333,116.105133333,-6.217,7.8531,55.5043,18.6143,116.256323831,-12.4092963021,-1.0,-1.0,4.20763355143,1.91015817402,2.54134666667
2001-08-02,124.9944,120.4134,120.4134,124.34,3.5993,0.826532903395,0.826532903395,121.39506,117.281542857,117.281542857,3.9266,4.581,57.1589,18.5071,129.47591183,13.2195879983,-0.341468141567,-0.341468141567,4.80914537685,2.48995561459,4.11351714286
2001-08-03,128.5938,124.34,125.6488,126.6304,2.2904,0.838097039905,0.838097039905,123.09656,118.45015,118.45015,0.9816,4.2538,58.2118,15.9538,130.702319418,1.22640758851,-0.439033662304,-0.439033662304,5.46705640386,3.08537577244,4.64641
2001-08-06,130.557,124.34,125.3215,130.557,3.9266,0.85470279702,0.85470279702,125.64882,119.795355556,119.795355556,5.2355,6.217,60.0169,14.6772,145.379519418,14.6772,-0.317071170876,-0.317071170876,6.1159797851,3.69149657497,5.85346444444
2001-08-07,130.8841,126.6304,129.5753,128.2665,-2.2905,0.806452884968,0.806452884968,126.10692,120.64247,120.64247,-1.3088,4.2537,58.9639,11.8349,142.648731081,-2.73078833721,-0.780494349861,-0.780494349861,6.51553964464,4.25630518891,5.46445
2001-08-08,130.557,126.6304,128.2665,130.557,2.2905,0.779817697016,0.816795210967,128.07018,121.543790909,121.543790909,2.2905,3.9266,60.0169,10.7821,153.430831081,10.7821,-0.439026208295,-0.439026208295,6.83916956714,4.77287806455,6.52638909091
2001-08-09,132.5202,128.2665,129.9024,128.5938,-1.9632,0.673916148728,0.781024275115,128.92094,122.131291667,122.131291667,-1.3086,4.2537,59.1144,9.677,145.243020304,-8.1878107765,-0.756097379171,-0.756097379171,7.00826315807,5.21995508326,6.78964833333
2001-08-10,128.9209,126.3032,128.5938,127.2849,-1.3089,0.652633102783,0.758866585603,129.05184,122.527723077,122.527723077,-1.3089,2.6177,58.5127,7.3206,143.413219877,-1.82980042786,-0.5714426047,-0.707325799815,6.89773576455,5.55551121951,6.52411692308
2001-08-13,129.248,125.3215,128.2665,126.3032,-0.9817,0.506849085672,0.743055791368,128.20108,122.7974,122.7974,-1.9633,3.9265,58.0614,7.2318,139.797596145,-3.61562373106,-0.789483842949,-0.682936283133,6.68032272672,5.78047352096,5.40368
2001-08-14,128.2665,122.7039,126.9577,128.2665,1.9633,0.68253744955,0.753333727234,128.20108,123.162006667,123.162006667,1.3088,5.5626,58.9639,8.4536,148.251196145,8.4536,-0.315790320246,-0.463415724977,6.44038718169,5.9124562531,5.03907333333
2001-08-15,129.9024,126.9577,127.2849,128.5938,0.3273,0.62264161823,0.754967718432,127.80844,123.50149375,123.50149375,1.3089,2.9447,59.1144,5.7059,148.88578787,0.634591724114,-0.578935516559,-0.585363308387,6.30952187225,5.99186937693,4.30694625
2001-08-16,128.5938,124.6671,127.6121,124.6671,-3.9267,0.448276225453,0.652480655439,127.0231,123.570058824,123.570058824,-2.945,3.9267,57.3093,8.0117,140.87408787,-8.0117,-1.0,-0.902456841289,5.90668925805,5.97483335316,3.45304117647
2001-08-17,125.6488,122.0495,124.9944,125.6488,0.9817,0.346942084846,0.595041030084,126.69588,123.685544444,123.685544444,0.6544,3.5993,57.7606,9.5271,150.40118787,9.5271,-0.210512771022,-0.536584275023,5.45198804455,5.87026429143,3.01033555556
2001-08-20,133.8291,124.34,124.34,131.5385,5.8897,0.583329088779,0.652172276184,127.74294,124.098857895,124.098857895,7.1985,9.4891,60.4681,21.4435,161.492076747,11.0908888778,0.0,-0.170741524792,5.47734591951,5.79168061705,3.64408210526
2001-08-21,134.8107,130.2297,132.5202,133.5019,1.9634,0.576269430589,0.596638288583,128.79002,124.56901,124.56901,0.9817,4.581,61.3707,13.4021,167.236168243,5.74409149531,-0.399973513712,-0.463408270968,5.65014002759,5.76337249916,4.22101
2001-08-22,133.5019,128.2665,132.1929,128.2665,-5.2354,0.492751825884,0.596636756329,128.72456,125.812415,124.745080952,-3.9264,5.2354,58.9639,12.9909,154.245268243,-12.9909,-1.0,-1.0,5.44705803218,5.70010960576,2.912145
2001-08-23,130.557,125.6488,129.248,127.6121,-0.6544,0.507462278093,0.545453787746,129.31356,126.663165,124.8754,-1.6359,4.9082,58.6631,12.5256,151.740250322,-2.50501792103,-0.588228420419,-0.658534403721,5.08883700407,5.57785508542,2.650395
2001-08-24,126.6304,123.6854,126.6304,124.34,-3.2721,0.459461468572,0.469028056492,129.0518,126.97402,124.852121739,-2.2904,2.945,57.1589,10.7685,145.758887911,-5.98136241087,-0.823525181796,-0.853656536744,4.50221156035,5.36272638041,2.07778
2001-08-27,126.6304,124.34,125.976,126.3032,1.9632,0.459459236224,0.439252256369,128.00474,127.399395,124.912583333,0.3272,2.2904,58.0614,6.7645,150.590673625,4.83178571429,-0.352940647725,-0.463419724651,4.08265645133,5.10671239459,0.605345
2001-08-28,127.2849,122.7039,127.2849,123.3583,-2.9449,0.402437433613,0.431192943499,125.97602,127.26851,124.850412,-3.9266,4.581,56.7077,7.5215,145.218079803,-5.37259382231,-0.794114210209,-0.829267201861,3.5703827169,4.79944645905,-1.29249
2001-08-29,127.9394,121.7224,122.7039,125.3215,1.9632,0.513157471449,0.425924825477,125.38702,127.49755,124.868530769,2.6176,6.217,57.6102,23.5153,148.929389496,3.71130969278,-0.352940647725,-0.352940647725,3.20012343532,4.47958185431,-2.11053
2001-08-30,128.267,128.267,128.267,128.267,2.9455,0.548789123354,0.495501274731,125.518,127.6939,124.9944,0.0,0.0,82.5498,1.8644,148.929389496,0.0,0.0,-0.264644812181,3.12810236359,4.20928595616,-2.1759
2001-08-31,134.6796,131.0156,132.3893,132.3893,4.1223,0.516972279408,0.565215613725,127.12786,127.981845,125.258503571,0.0,3.664,85.2029,14.1073,145.400254348,-3.52913514738,0.0,-0.158865987721,3.38315192433,4.0440591498,-0.853985
2001-09-03,133.7642,129.1836,133.3059,130.099,-2.2903,0.432990827567,0.54692731076,127.88702,127.958945,125.425417241,-3.2069,4.5806,83.7289,4.3438,142.792608791,-2.60764555735,-0.867223845072,-0.735274289669,3.39828019073,3.91490335798,-0.071925
2001-09-04,133.7642,131.4739,132.3893,133.7642,3.6652,0.615395594662,0.56522316842,129.9682,128.23383,125.703376667,1.3749,2.2903,86.0877,5.8744,148.667008791,5.8744,-0.0618170507411,-0.199953258847,3.56327179329,3.84457704504,1.73437
2001-09-05,134.2225,128.7253,134.2225,128.7253,-5.0389,0.51973366991,0.501403208492,130.64896,128.142245,125.800858065,-5.4972,5.4972,82.8448,4.386,144.281008791,-4.386,-1.0,-0.982337237418,3.40527436745,3.75671650952,2.506715
2001-09-06,128.267,122.7698,128.267,124.1435,-4.5818,0.496671217978,0.4944898131,129.82426,127.91973,125.749065625,-4.1235,5.4972,79.896,4.3033,142.128419411,-2.15258938005,-0.950104789766,-0.941249966292,2.82238949686,3.56985110699,1.90453
