2454.TW,High,Low,Open,Close,d_Close,RSI9,RSI15,MA5,MA20,d_CO,d_HL,Adj_Close,Volume,VA/D
2009-01-05,235.5001,228.0001,229.5001,235.5001,0.0,0.0,0.0,235.5001,235.5001,6.0,7.5,175.0549,11.04,11.04
2009-01-06,242.00,234.5001,237.00,242.00,6.4999,1.0,1.0,238.75005,238.75005,5.0,7.4999,179.8866,9.0029,20.0429
2009-01-07,257.9999,250.00,254.00,257.50,15.5,1.0,1.0,245.000033333,245.000033333,3.5,7.9999,191.4082,12.7414,31.1919236303
2009-01-08,253.50,241.00,251.00,243.00,-14.5,0.60273863764,0.60273863764,244.500025,244.500025,-8.0,12.5,180.6299,12.9177,22.4078876303
2009-01-09,253.00,240.00,246.00,248.00,5.0,0.650601567715,0.650601567715,245.20002,245.20002,2.0,13.0,184.3465,9.6071,24.6249107072
2009-01-12,251.50,246.00,246.00,251.00,3.0,0.674156571138,0.674156571138,248.3,246.166683333,5.0,5.5,186.5765,6.4378,29.8922016163
2009-01-13,263.9999,247.00,251.00,263.9999,12.9999,0.747825209827,0.747825209827,252.69998,248.714285714,12.9999,16.9999,196.2398,9.1502,39.0424016163
2009-01-14,261.9999,248.00,261.9999,248.00,-15.9999,0.58503368041,0.58503368041,250.79998,248.625,-13.9999,13.9999,184.3465,12.7494,26.2930016163
2009-01-15,238.00,233.0001,234.0001,235.0001,-12.9999,0.497109813225,0.497109813225,249.2,247.111122222,1.0,4.9999,174.6833,9.6883,24.3554966322
2009-01-16,240.50,237.00,241.482,240.50,5.4999,0.527173517247,0.527173517247,247.7,246.45001,-0.982,3.5,178.7716,6.2635,30.6189966322
2009-01-19,250.00,243.00,245.00,250.00,9.5,0.542105440444,0.571428430682,247.5,246.772736364,5.0,7.0,185.8332,7.9518,38.5707966322
2009-01-20,246.00,241.00,245.00,244.00,-6.0,0.421052262233,0.539534602487,243.50002,246.541675,-1.0,5.0,181.3732,6.8817,39.9471366322
2009-01-21,243.50,238.50,238.50,240.00,-4.0,0.479999893333,0.520179014256,241.90002,246.038469231,1.5,5.0,178.3999,7.1101,37.1030966322
