2330.TW,High,Low,Open,Close,d_Close,RSI9,RSI15,MA5,MA20,MA60,d_CO,d_HL,Adj_Close,Volume,VA/D,d_VA/D,%R8,%R21,DIF,DEM,d_MA5/20
2000-01-04,83.0813,81.6811,83.0813,83.0813,0.0,0.0,0.0,83.0813,83.0813,83.0813,0.0,1.4002,29.618,149.0838,149.0838,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-05,84.9482,82.1478,83.0813,84.9482,1.8669,1.0,1.0,84.01475,84.01475,84.01475,1.8669,2.8004,30.2836,299.0163,448.1001,299.0163,0.0,0.0,0.121002279202,0.0242004558405,0.0
2000-01-06,84.9482,83.0813,84.4815,83.0813,-1.8669,0.5,0.5,83.7036,83.7036,83.7036,-1.4002,1.8669,29.618,146.7683,301.3318,-146.7683,-1.0,-1.0,0.158579252603,0.0510762151931,0.0
2000-01-07,81.6811,79.3474,80.2809,80.7476,-2.3337,0.307688504326,0.307688504326,82.9646,82.9646,82.9646,0.4667,2.3337,28.7861,174.7962,336.288043965,34.9562439645,-1.0,-1.0,-0.0464904035934,0.0315628914358,0.0
2000-01-10,84.0148,81.6811,83.0813,83.548,2.8004,0.526314008954,0.526314008954,83.08128,83.08128,83.08128,0.4667,2.3337,29.7844,205.1842,459.388013292,123.099969328,0.0,0.0,-0.0018487906012,0.0248805550284,0.0
2000-01-11,85.415,81.6811,84.4815,82.1478,-1.4002,0.454543683836,0.454543683836,82.89458,82.9257,82.9257,-2.3337,3.7339,29.2852,206.3713,304.605393069,-154.782620223,-0.818176506106,-0.818176506106,0.005223684428,0.0209491809083,-0.03112
2000-01-12,84.4815,82.1478,82.6146,84.4815,2.3337,0.555555555556,0.555555555556,82.80124,83.1479571429,83.1479571429,1.8669,2.3337,30.1172,160.6625,465.267893069,160.6625,-0.0909020081416,-0.0909020081416,0.094477917748,0.0356549282762,-0.346717142857
2000-01-13,84.4815,83.0813,84.4815,83.0813,-1.4002,0.5,0.5,82.80124,83.139625,83.139625,-1.4002,1.4002,29.618,109.5797,355.688193069,-109.5797,-0.818176506106,-0.818176506106,0.126098152768,0.0537435731746,-0.338385
2000-01-14,86.3485,83.548,84.0148,84.9482,1.8669,0.558822602701,0.558822602701,83.64136,83.3405777778,83.3405777778,0.9334,2.8005,30.2836,214.2091,355.68054411,-0.00764895911467,-0.181823493894,-0.181823493894,0.270439098692,0.0970826782781,0.300782222222
2000-01-17,88.6823,87.2821,88.6823,87.2821,2.3339,0.615388841277,0.615388841277,84.38818,83.73473,83.73473,-1.4002,1.4002,31.1156,115.3495,240.33104411,-115.3495,-0.0908630529207,-0.0908630529207,0.59454708654,0.19657555993,0.65345
2000-01-18,87.2821,85.415,87.2821,85.8817,-1.4004,0.526316086219,0.571427113941,85.13496,83.9299090909,83.9299090909,-1.4004,1.8671,30.6163,97.809,191.418686283,-48.9123578276,-0.818215461327,-0.818215461327,0.720686141559,0.301397676256,1.20505090909
2000-01-19,87.2821,85.415,85.8817,85.8817,0.0,0.588232699409,0.571427113941,85.415,84.0925583333,84.0925583333,0.0,1.8671,30.6163,100.187,141.31713741,-50.1015488726,-0.666634926681,-0.545451004071,0.811300089035,0.403378158812,1.32244166667
2000-01-20,85.8817,84.4815,85.8817,84.9482,-0.9335,0.64515660852,0.545452774789,85.78838,84.1583769231,84.1583769231,-0.9335,1.4002,30.2836,93.4331,110.168322184,-31.1488152264,-0.874969873872,-0.727274497965,0.789269704989,0.480556468047,1.63000307692
2000-01-21,86.8154,84.9482,84.9482,86.8154,1.8672,0.620692966903,0.583335937047,86.16182,84.3481642857,84.3481642857,1.8672,1.8672,30.9492,84.2496,194.417922184,84.2496,-0.124976568567,-0.181765061062,0.865418324839,0.557528839406,1.81365571429
2000-01-24,89.1491,87.2821,87.7489,87.7489,0.9335,0.714284621212,0.60000257098,86.25518,84.57488,84.57488,0.0,1.867,31.282,130.1018,129.373990679,-65.0439315051,-0.375010042043,-0.363627510177,1.04553626546,0.655130324617,1.6803
2000-01-25,90.0826,88.6823,90.0826,90.0826,2.3337,0.714284621212,0.636365407014,87.09536,84.9191125,84.9191125,0.0,1.4003,32.1139,166.194,295.567990679,166.194,-5.35575609905e-05,-0.0909020081416,1.31436244384,0.786976748462,2.1762475
2000-01-26,96.1504,92.883,92.883,96.1504,6.0678,0.868415563035,0.687503347616,89.1491,85.5797764706,85.5797764706,3.2674,3.2674,34.2771,265.8908,561.458790679,265.8908,0.0,0.0,1.95680816828,1.02094303243,3.56932352941
2000-01-27,98.484,95.2167,97.0838,97.0838,0.9334,0.861105490555,0.741935483871,91.57622,86.2188888889,86.2188888889,0.0,3.2673,34.6098,213.9181,592.027872456,30.569081777,-0.687501673763,-0.611128965066,2.568158714,1.33038616874,5.35733111111
2000-01-28,95.2167,93.8165,93.8165,95.2167,-1.8671,0.742847348898,0.7540943878,93.25648,86.6924578947,86.6924578947,1.4002,1.4002,33.9442,147.0351,739.062972456,147.0351,-1.0,-0.944462298399,2.85031502516,1.63437194002,6.56402210526
2000-01-31,95.2167,91.9495,92.4162,94.7499,-0.4668,0.787872492372,0.714281341939,94.65668,87.09533,87.09533,2.3337,3.2672,33.7778,124.8611,828.24510485,89.1821323947,-0.823526446458,-0.777789680414,2.98304301795,1.90410615561,7.56135
2000-02-01,95.6836,93.8165,95.6836,94.2832,-0.4667,0.764702546362,0.740735891576,95.4968,87.655425,87.4376095238,-1.4004,1.8671,33.6114,113.7335,771.369217672,-56.875887178,-0.823513843905,-0.777777777778,3.08096759329,2.13947844314,7.841375
2000-02-09,99.8843,96.6171,99.8843,98.484,4.2008,0.853655222867,0.758616868413,95.96352,88.332215,87.9397181818,-1.4003,3.2672,35.109,187.6568,798.169126732,26.7999090597,-0.235289669687,-0.222222222222,3.42975872675,2.39753449986,7.631305
2000-02-10,100.351,96.6171,97.5506,99.8843,1.4003,0.849995447266,0.810339095745,96.52362,89.172365,88.4590478261,2.3337,3.7339,35.6082,131.9053,897.100751213,98.9316244811,-0.588224174218,-0.555555555556,3.72910239283,2.66384807846,7.351255
2000-02-11,103.6182,100.351,101.2845,102.2179,2.3336,0.860459786151,0.81355329046,97.92386,90.24588,89.0323333333,0.9334,3.2672,36.4401,159.7568,919.916165905,22.8154146915,-0.470604544481,-0.444468249717,4.15383515238,2.96184549324,7.67798
2000-02-14,101.7512,99.8843,101.7512,99.8843,-2.3336,0.744186625876,0.728811405165,98.95074,91.062695,89.466412,-1.8669,1.8669,35.6082,104.238,815.678165905,-104.238,-1.0,-1.0,4.29964674288,3.22940574317,7.888045
2000-02-15,101.2845,98.9508,99.8843,100.351,0.4667,0.64515861497,0.771931275301,100.1643,91.972855,89.88505,0.4667,2.3337,35.7746,78.0888,831.29458745,15.6164215452,-0.57145261998,-0.66668650463,4.355578368,3.45464026814,8.191445
2000-02-16,100.8177,99.4175,100.351,99.4175,-0.9335,0.580644269512,0.745764065916,100.351,92.719655,90.2381037037,-0.9335,1.4002,35.4418,58.9555,772.33908745,-58.9555,-0.785733961802,-0.833349203704,4.31252760856,3.62621773622,7.631345
