2330.TW,High,Low,Open,Close,d_Close,RSI9,RSI15,MA5,MA20,MA60,d_CO,d_HL,Adj_Close,Volume,VA/D,d_VA/D,%R8,%R21,DIF,DEM,d_MA5/20
2011-01-03,71.60,70.80,71.50,71.10,0.0,0.0,0.0,71.1,71.1,71.1,-0.4,0.8,58.3185,35.149,35.149,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-04,71.60,70.80,71.00,71.20,0.1,1.0,1.0,71.15,71.15,71.15,0.2,0.8,58.4005,35.448,35.149,6.33299350739e-13,0.0,0.0,0.0039886039886,0.000797720797721,0.0
2011-01-05,71.10,69.60,70.90,69.80,-1.4,0.0666666666667,0.0666666666667,70.7,70.7,70.7,-1.1,1.5,57.2522,51.755,-2.80466666667,-37.9536666667,-1.0,-1.0,-0.0826754652965,-0.0158969164211,0.0
2011-01-06,71.00,69.70,69.80,71.00,1.2,0.481481481481,0.481481481481,70.775,70.775,70.775,1.2,1.3,58.2365,46.666,43.8613333333,46.666,0.0,0.0,-0.101769246471,-0.0330713824311,0.0
2011-01-07,73.00,71.90,71.90,72.50,1.5,0.666666666667,0.666666666667,71.12,71.12,71.12,0.6,1.1,59.4668,169.755,59.2936060606,15.4322727273,0.0,0.0,0.0280207454462,-0.0208529568557,0.0
2011-01-10,74.20,72.60,73.00,74.20,1.7,0.762711864407,0.762711864407,71.74,71.6333333333,71.6333333333,1.2,1.6,60.8612,66.767,126.060606061,66.767,0.0,0.0,0.235086742014,0.0303349829183,0.106666666667
2011-01-11,74.90,73.80,74.10,74.50,0.3,0.774193548387,0.774193548387,72.4,72.0428571429,72.0428571429,0.4,1.1,61.1073,81.911,148.399969697,22.3393636364,-0.451612903226,-0.451612903226,0.444496434573,0.113167273249,0.357142857143
2011-01-12,75.00,74.70,74.70,74.90,0.4,0.787878787879,0.787878787879,73.42,72.4,72.4,0.2,0.3,61.4354,53.397,166.198969697,17.799,-0.41935483871,-0.41935483871,0.639395806982,0.218412979996,1.02
2011-01-13,75.30,74.20,75.10,74.60,-0.3,0.753623188406,0.753623188406,74.14,72.6444444444,72.6444444444,-0.5,1.1,61.1893,92.995,140.83669697,-25.3622727273,-0.645161290323,-0.645161290323,0.768853767621,0.328501137521,1.49555555556
2011-01-14,74.80,74.10,74.40,74.80,0.2,0.760563380282,0.760563380282,74.6,72.86,72.86,0.4,0.7,61.3533,28.681,169.51769697,28.681,-0.483870967742,-0.483870967742,0.857530474474,0.434307004912,1.74
2011-01-17,75.90,75.30,75.40,75.80,1.0,0.7875,0.79012345679,74.92,73.1272727273,73.1272727273,0.4,0.6,62.1736,67.207,214.322363636,44.8046666667,-0.35,-0.225806451613,1.00298908555,0.548043421039,1.79272727273
2011-01-18,77.40,75.20,75.50,76.80,1.0,0.960526315789,0.813186813187,75.38,73.4333333333,73.4333333333,1.3,2.2,62.9938,56.518,240.012363636,25.69,-0.35,-0.225806451613,1.17332857758,0.673100452347,1.94666666667
2011-01-19,78.30,76.60,76.90,78.00,1.2,0.960526315789,0.834951456311,76.0,73.7846153846,73.7846153846,1.1,1.7,63.9781,86.839,296.202304813,56.1899411765,-0.25,-0.161290322581,1.38714637244,0.815909636366,2.21538461538
2011-01-20,77.00,76.10,77.00,76.40,-1.6,0.753246753247,0.72268907563,76.36,73.9714285714,73.9714285714,-0.6,0.9,62.6657,43.578,281.676304813,-14.526,-1.0,-1.0,1.43914440122,0.940556589336,2.38857142857
2011-01-21,75.20,74.00,74.00,74.60,-1.8,0.525641025641,0.627737226277,76.32,74.0133333333,74.0133333333,0.6,1.2,61.1893,81.34,281.676304813,-9.53674316406e-13,-1.0,-1.0,1.31391044198,1.01522735986,2.30666666667
2011-01-24,75.40,74.60,75.20,75.30,0.7,0.548780487805,0.645833333333,76.22,74.09375,74.09375,0.1,0.8,61.7635,40.75,312.238804813,30.5625,-0.166666666667,-0.285714285714,1.24469397315,1.06112068252,2.12625
2011-01-25,75.90,74.90,75.90,75.00,-0.3,0.506172839506,0.630136986301,75.86,74.1470588235,74.1470588235,-0.9,1.0,61.5174,43.75,277.238804813,-35.0,-0.5,-0.571428571429,1.18026860329,1.08495026668,1.71294117647
2011-01-26,75.20,74.30,74.60,74.60,-0.4,0.5,0.676470588235,75.18,74.1722222222,74.1722222222,0.0,0.9,61.1893,66.493,255.074471479,-22.1643333333,-0.533333333333,-0.6,1.07446218983,1.08285265131,1.00777777778
2011-01-27,75.40,74.80,74.90,75.20,0.6,0.523255813953,0.661538461538,74.94,74.2263157895,74.2263157895,0.3,0.6,61.6814,69.734,278.319138146,23.2446666667,-0.2,-0.314285714286,1.01721258168,1.06972463738,0.713684210526
2011-01-28,76.90,74.90,75.20,76.30,1.1,0.528735632184,0.650793650794,75.28,74.33,74.33,1.1,2.0,62.5837,97.365,317.265138146,38.946,-0.0333333333333,-0.171428571429,1.03655020969,1.06308975184,0.95
2011-02-08,77.00,74.80,77.00,75.50,-0.8,0.423529411765,0.555555555556,75.32,74.55,74.3857142857,-1.5,2.2,61.9275,105.232,278.998956328,-38.2661818182,-0.655172413793,-0.714285714286,1.00797940304,1.05206768208,0.77
2011-02-09,75.60,73.80,75.50,73.80,-1.7,0.266666666667,0.473282442748,75.08,74.68,74.3590909091,-1.7,1.8,60.5331,79.084,199.914956328,-79.084,-0.965517241379,-0.971428571429,0.858438407477,1.01334182716,0.4
2011-02-10,73.40,72.00,73.10,72.00,-1.8,0.260869565217,0.4,74.56,74.79,74.2565217391,-1.1,1.4,59.0567,83.493,116.421956328,-83.493,-1.0,-1.0,0.579926933377,0.926658848405,-0.23
2011-02-11,72.40,70.90,72.20,71.40,-0.6,0.3,0.391891891892,73.8,74.81,74.1375,-0.8,1.5,58.5646,111.841,79.1416229946,-37.2803333333,-0.586206896552,-0.657142857143,0.289299118245,0.799186902373,-1.01
