2303.TW,High,Low,Open,Close,d_Close,RSI9,RSI15,MA5,MA20,MA60,d_CO,d_HL,Adj_Close,Volume,VA/D,VA/D_r,d_MA5/20
2009-01-05,7.95,7.79,7.95,7.88,0.0,0.0,0.0,7.88,7.88,7.88,-0.07,0.16,5.8677,60.332,60.332,0.0,0.0
2009-01-06,7.95,7.82,7.88,7.88,0.0,0.0,0.0,7.88,7.88,7.88,0.0,0.13,5.8677,35.236,57.6215384615,0.0,0.0
2009-01-07,8.10,7.92,7.95,8.06,0.18,1.0,1.0,7.94,7.94,7.94,0.11,0.18,6.0018,70.679,96.8876495727,0.0,0.0
2009-01-08,8.06,7.60,7.87,8.06,0.0,1.0,1.0,7.97,7.97,7.97,0.19,0.46,6.0018,51.361,148.248649573,0.0,0.0
2009-01-09,7.94,7.73,7.80,7.92,-0.14,0.5625,0.5625,7.96,7.96,7.96,0.12,0.21,5.8975,47.976,187.086363858,0.0,0.0
2009-01-12,7.85,7.67,7.76,7.85,-0.07,0.461538461538,0.461538461538,7.954,7.94166666667,7.94166666667,0.09,0.18,5.8454,42.488,229.574363858,0.0,0.0123333333333
2009-01-13,7.88,7.68,7.75,7.86,0.01,0.475,0.475,7.95,7.93,7.93,0.11,0.2,5.8528,19.856,245.459163858,0.0,0.02
2009-01-14,7.90,7.79,7.86,7.82,-0.04,0.431818181818,0.431818181818,7.902,7.91625,7.91625,-0.04,0.11,5.8231,17.54,237.486436586,0.0,-0.01425
2009-01-15,7.45,7.29,7.45,7.35,-0.47,0.208791208791,0.208791208791,7.76,7.85333333333,7.85333333333,-0.1,0.16,5.4731,44.874,226.267936586,0.0,-0.0933333333333
2009-01-16,7.40,7.26,7.35,7.40,0.05,0.25,0.25,7.656,7.808,7.808,0.05,0.14,5.5103,23.089,249.356936586,0.0,-0.152
2009-01-19,7.45,7.33,7.42,7.33,-0.07,0.233009708738,0.233009708738,7.552,7.76454545455,7.76454545455,-0.09,0.12,5.4582,11.549,237.807936586,0.0,-0.212545454545
2009-01-20,7.26,7.10,7.26,7.10,-0.23,0.0555555555556,0.190476190476,7.4,7.70916666667,7.70916666667,-0.16,0.16,5.2869,31.735,206.072936586,0.0,-0.309166666667
2009-01-21,7.35,6.96,6.99,7.30,0.2,0.203125,0.301369863014,7.296,7.67769230769,7.67769230769,0.31,0.39,5.4358,33.678,231.11555197,0.0,-0.381692307692
2009-02-02,7.36,7.15,7.20,7.16,-0.14,0.203125,0.275,7.258,7.64071428571,7.64071428571,-0.04,0.21,5.3316,39.823,195.085218637,0.0,-0.382714285714
2009-02-03,7.65,7.13,7.13,7.57,0.41,0.413580246914,0.422885572139,7.292,7.636,7.636,0.44,0.52,5.6369,54.85,233.05829556,0.0,-0.344
2009-02-04,7.77,7.60,7.65,7.75,0.18,0.469273743017,0.470319634703,7.376,7.643125,7.643125,0.1,0.17,5.7709,86.964,299.560177913,0.0,-0.267125
2009-02-05,7.75,7.60,7.74,7.72,-0.03,0.47191011236,0.463963963964,7.5,7.64764705882,7.64764705882,-0.02,0.15,5.7486,36.3,321.340177913,0.0,-0.147647058824
2009-02-06,7.95,7.80,7.82,7.92,0.2,0.688741721854,0.46875,7.624,7.66277777778,7.66277777778,0.1,0.15,5.8975,42.507,346.844377913,0.0,-0.0387777777778
2009-02-09,8.07,7.90,8.03,8.00,0.08,0.694805194805,0.487068965517,7.792,7.68052631579,7.68052631579,-0.03,0.17,5.9571,38.422,353.624730854,0.0,0.111473684211
2009-02-10,8.01,7.85,7.97,8.01,0.01,0.72972972973,0.520547945205,7.88,7.697,7.697,0.04,0.16,5.9645,45.407,399.031730854,0.0,0.183
2009-02-11,8.19,7.60,7.61,8.19,0.18,0.881118881119,0.573913043478,7.968,7.7125,7.72047619048,0.58,0.59,6.0986,80.866,479.897730854,0.0,0.2555
2009-02-12,8.19,7.98,8.19,8.19,0.0,0.861788617886,0.572052401747,8.062,7.728,7.74181818182,0.0,0.21,6.0986,73.122,553.019730854,0.0,0.334
2009-02-13,8.76,8.16,8.19,8.71,0.52,0.981366459627,0.660649819495,8.22,7.7605,7.78391304348,0.52,0.6,6.4858,128.293,659.930564187,0.0,0.4595
2009-02-16,8.86,8.54,8.69,8.65,-0.06,0.928571428571,0.775423728814,8.35,7.79,7.82,-0.04,0.32,6.4411,67.415,638.863376687,0.0,0.56
2009-02-17,8.65,8.19,8.52,8.20,-0.45,0.647058823529,0.644927536232,8.388,7.804,7.8352,-0.32,0.46,6.106,31.866,608.382854948,0.0,0.584
2009-02-18,8.19,7.92,8.06,8.06,-0.14,0.603658536585,0.628975265018,8.362,7.8145,7.84384615385,0.0,0.27,6.0018,38.488,609.80833643,0.0,0.5475
2009-02-19,8.20,7.79,7.85,8.00,-0.06,0.526666666667,0.669172932331,8.324,7.8215,7.84962962963,0.15,0.41,5.9571,56.364,611.183068137,0.0,0.5025
2009-02-20,7.94,7.61,7.81,7.61,-0.39,0.39226519337,0.554385964912,8.104,7.811,7.84107142857,-0.2,0.33,5.6667,65.583,545.600068137,0.0,0.293
2009-02-23,7.88,7.55,7.60,7.80,0.19,0.447236180905,0.610344827586,7.934,7.8335,7.83965517241,0.2,0.33,5.8082,28.326,560.192249955,0.0,0.1005
2009-02-24,7.70,7.49,7.50,7.56,-0.24,0.346341463415,0.498168498168,7.806,7.8415,7.83033333333,0.06,0.21,5.6295,34.286,548.763583289,0.0,-0.0355
2009-02-25,7.94,7.67,7.67,7.79,0.23,0.412280701754,0.507194244604,7.752,7.8645,7.82903225806,0.12,0.27,5.8007,59.663,542.134361066,0.0,-0.1125
2009-02-26,8.05,7.86,8.02,7.95,0.16,0.302083333333,0.539518900344,7.742,7.907,7.8328125,-0.07,0.19,5.9199,24.627,540.838203172,0.0,-0.165
2009-02-27,7.99,7.84,7.95,7.84,-0.11,0.294416243655,0.485815602837,7.788,7.934,7.83303030303,-0.11,0.15,5.838,22.784,518.054203172,0.0,-0.146
2009-03-02,8.19,7.75,8.19,7.80,-0.04,0.371794871795,0.464028776978,7.788,7.966,7.83205882353,-0.39,0.44,5.8082,32.353,493.054157717,0.0,-0.178
2009-03-03,7.92,7.58,7.60,7.85,0.05,0.428571428571,0.471631205674,7.846,7.98,7.83257142857,0.25,0.34,5.8454,17.481,503.337098894,0.0,-0.134
2009-03-04,8.39,7.73,7.73,8.22,0.37,0.561797752809,0.504983388704,7.932,8.0035,7.84333333333,0.49,0.66,6.1209,90.963,547.440371621,0.0,-0.0715
2009-03-05,8.70,8.36,8.40,8.52,0.3,0.769230769231,0.549848942598,8.046,8.0435,7.86162162162,0.12,0.34,6.3443,98.746,541.631783386,0.0,0.0025
2009-03-06,8.51,8.20,8.20,8.48,-0.04,0.720779220779,0.459363957597,8.174,8.0715,7.87789473684,0.28,0.31,6.3145,131.475,647.660009192,0.0,0.1025
2009-03-09,9.05,8.32,8.44,9.02,0.54,0.896739130435,0.555891238671,8.418,8.1225,7.90717948718,0.58,0.73,6.7166,99.913,739.360981795,0.0,0.2955
2009-03-10,9.50,8.78,9.00,9.15,0.13,0.890804597701,0.658862876254,8.678,8.1795,7.93825,0.15,0.72,6.8134,142.818,743.328148461,0.0,0.4985
2009-03-11,9.63,9.27,9.47,9.52,0.37,0.902564102564,0.726708074534,8.938,8.246,7.97682926829,0.05,0.36,7.0889,102.228,783.083481795,0.0,0.692
2009-03-12,9.98,9.52,9.52,9.89,0.37,0.963800904977,0.767705382436,9.212,8.331,8.02238095238,0.37,0.46,7.3645,147.349,872.774177447,0.0,0.881
2009-03-13,10.30,10.00,10.30,10.20,0.31,0.983870967742,0.875362318841,9.556,8.4055,8.07302325581,-0.1,0.3,7.5953,101.557,906.62651078,0.0,1.1505
2009-03-16,10.40,9.94,10.30,9.99,-0.21,0.905303030303,0.815561959654,9.75,8.4725,8.11659090909,-0.31,0.46,7.4389,68.811,852.774423824,0.0,1.2775
2009-03-17,9.95,9.69,9.95,9.89,-0.1,0.852320675105,0.84984984985,9.898,8.557,8.156,-0.06,0.26,7.3645,76.339,893.880039208,0.0,1.341
2009-03-18,10.10,9.78,9.90,9.97,0.08,0.837209302326,0.842767295597,9.988,8.6525,8.19543478261,0.07,0.32,7.424,58.007,904.756351708,0.0,1.3355
2009-03-19,10.15,9.70,10.00,9.71,-0.26,0.759493670886,0.768292682927,9.952,8.738,8.22765957447,-0.29,0.45,7.2304,61.623,845.872151708,0.0,1.214
2009-03-20,9.70,9.20,9.60,9.22,-0.49,0.543103448276,0.688524590164,9.756,8.8185,8.24833333333,-0.38,0.5,6.8656,81.715,770.694351708,0.0,0.9375
2009-03-23,9.86,9.40,9.40,9.86,0.64,0.625441696113,0.741784037559,9.73,8.9215,8.2812244898,0.46,0.46,7.3421,65.023,835.717351708,0.0,0.8085
2009-03-24,10.55,10.50,10.50,10.55,0.69,0.663492063492,0.775510204082,9.862,9.071,8.3266,0.05,0.05,7.8559,56.632,892.349351708,0.0,0.791
2009-03-25,11.25,10.50,10.65,11.25,0.7,0.695402298851,0.789674952199,10.118,9.244,8.38392156863,0.6,0.75,8.3772,188.341,1080.69035171,0.0,0.874
2009-03-26,12.00,11.50,11.60,12.00,0.75,0.729591836735,0.806338028169,10.576,9.4465,8.45346153846,0.4,0.5,8.9356,150.885,1231.57535171,0.0,1.1295
2009-03-27,12.50,11.60,12.40,11.70,-0.3,0.713216957606,0.771043771044,11.072,9.6395,8.51471698113,-0.7,0.9,8.7122,128.733,1131.44968504,0.0,1.4325
2009-03-30,11.50,10.95,11.40,11.15,-0.55,0.641255605381,0.678991596639,11.33,9.807,8.56351851852,-0.25,0.55,8.3027,97.15,1104.9542305,0.0,1.523
2009-03-31,11.30,10.95,10.95,11.10,-0.05,0.627539503386,0.666098807496,11.44,9.9695,8.60963636364,0.15,0.35,8.2655,90.312,1092.05251621,0.0,1.4705
2009-04-01,11.50,11.10,11.10,11.35,0.25,0.685520361991,0.659130434783,11.46,10.126,8.65857142857,0.25,0.4,8.4516,132.758,1125.24201621,0.0,1.334
2009-04-02,11.80,11.00,11.60,11.30,-0.05,0.761306532663,0.629834254144,11.32,10.265,8.7049122807,-0.3,0.8,8.4144,111.462,1097.37651621,0.0,1.055
2009-04-03,11.60,11.30,11.60,11.40,0.1,0.723837209302,0.614942528736,11.26,10.411,8.75137931034,-0.2,0.3,8.4889,80.932,1070.39918288,0.0,0.849
2009-04-06,11.40,10.80,11.15,10.80,-0.6,0.537313432836,0.572192513369,11.19,10.5,8.78610169492,-0.35,0.6,8.0421,73.466,996.933182877,0.0,0.69
2009-04-07,11.10,10.80,11.00,11.10,0.3,0.474576271186,0.60413080895,11.19,10.5975,8.82466666667,0.1,0.3,8.2655,94.344,1091.27718288,0.0,0.5925
2009-04-08,11.00,10.35,10.85,10.60,-0.5,0.240740740741,0.550561797753,11.04,10.6515,8.87,-0.25,0.65,7.8931,114.322,1064.89518288,0.0,0.3885
2009-04-09,11.30,10.95,10.95,11.30,0.7,0.435483870968,0.619190404798,11.04,10.722,8.927,0.35,0.35,8.4144,190.659,1255.55418288,0.0,0.318
2009-04-10,11.55,11.00,11.45,11.30,0.0,0.529411764706,0.668284789644,11.02,10.777,8.981,-0.15,0.55,8.4144,149.266,1269.12381924,0.0,0.243
2009-04-13,11.50,11.10,11.50,11.25,-0.05,0.529411764706,0.624329159213,11.11,10.84,9.03416666667,-0.25,0.4,8.3772,100.072,1244.10581924,0.0,0.27
2009-04-14,11.70,11.10,11.25,11.70,0.45,0.563636363636,0.607476635514,11.23,10.9305,9.09716666667,0.45,0.6,8.7122,203.835,1447.94081924,0.0,0.2995
2009-04-15,12.10,11.65,11.75,11.75,0.05,0.581818181818,0.553191489362,11.46,11.0195,9.16216666667,0.0,0.45,8.7495,173.155,1351.74359702,0.0,0.4405
2009-04-16,12.10,11.80,12.10,11.95,0.2,0.59649122807,0.493975903614,11.59,11.1315,9.23033333333,-0.15,0.3,8.8984,134.827,1351.74359702,0.0,0.4585
2009-04-17,12.75,12.00,12.75,12.40,0.45,0.796296296296,0.581395348837,11.81,11.2905,9.30666666667,-0.35,0.75,9.2335,320.158,1373.08746369,0.0,0.5195
2009-04-20,12.60,12.00,12.40,12.30,-0.1,0.74,0.649350649351,12.02,11.4125,9.38916666667,-0.1,0.6,9.159,131.72,1373.08746369,0.0,0.6075
2009-04-21,12.45,11.85,11.85,12.45,0.15,0.93023255814,0.670886075949,12.17,11.5075,9.47333333333,0.6,0.6,9.2707,93.396,1466.48346369,0.0,0.6625
2009-04-22,13.30,12.40,12.45,13.10,0.65,0.928571428571,0.701149425287,12.44,11.6,9.5695,0.65,0.9,9.7547,226.927,1592.55401924,0.0,0.84
2009-04-23,13.10,12.55,13.10,12.55,-0.55,0.735849056604,0.628865979381,12.56,11.6275,9.66033333333,-0.55,0.55,9.3452,132.099,1460.45501924,0.0,0.9325
2009-04-24,12.85,12.10,12.45,12.25,-0.3,0.672413793103,0.584158415842,12.53,11.655,9.74283333333,-0.2,0.75,9.1218,108.056,1395.62141924,0.0,0.875
2009-04-27,12.45,11.45,12.30,11.60,-0.65,0.483870967742,0.578431372549,12.39,11.6775,9.81683333333,-0.7,1.0,8.6378,105.967,1321.44451924,0.0,0.7125
2009-04-28,11.75,11.20,11.60,11.20,-0.4,0.420289855072,0.509615384615,12.14,11.6825,9.87733333333,-0.4,0.55,8.3399,95.934,1225.51051924,0.0,0.4575
2009-04-29,11.70,11.30,11.30,11.60,0.4,0.452054794521,0.598039215686,11.84,11.695,9.9415,0.3,0.4,8.6378,109.94,1280.48051924,0.0,0.145
2009-04-30,12.40,12.40,12.40,12.40,0.8,0.5,0.605769230769,11.81,11.75,10.0195,0.0,0.0,9.2335,55.929,1280.48051924,0.0,0.06
2009-05-04,13.25,13.25,13.25,13.25,0.85,0.6,0.661157024793,12.01,11.8425,10.1083333333,0.0,0.0,9.8664,70.709,1280.48051924,0.0,0.1675
2009-05-05,14.15,13.55,14.15,14.00,0.75,0.644859813084,0.703703703704,12.49,12.0025,10.2083333333,-0.15,0.6,10.4249,449.762,1505.36151924,0.0,0.4875
2009-05-06,14.95,13.90,13.90,14.95,0.95,0.663716814159,0.724137931034,13.24,12.195,10.324,1.05,1.05,11.1323,300.787,1806.14851924,0.0,1.045
2009-05-07,14.80,14.00,14.80,14.30,-0.65,0.652173913043,0.662420382166,13.78,12.38,10.4258333333,-0.5,0.8,10.6483,241.996,1745.64951924,0.0,1.4
2009-05-08,14.15,13.50,13.50,14.00,-0.3,0.652173913043,0.62893081761,14.1,12.515,10.5226666667,0.5,0.65,10.4249,146.585,1824.57990386,0.0,1.585
2009-05-11,14.40,13.95,14.00,14.00,0.0,0.735294117647,0.606666666667,14.25,12.65,10.6108333333,0.0,0.45,10.4249,165.44,1695.9043483,0.0,1.6
2009-05-12,13.70,13.40,13.50,13.50,-0.5,0.721153846154,0.575949367089,14.15,12.7625,10.6916666667,0.0,0.3,10.0526,109.732,1659.32701497,0.0,1.3875
2009-05-13,13.85,13.15,13.15,13.75,0.25,0.712871287129,0.58125,13.91,12.865,10.7841666667,0.6,0.7,10.2388,126.35,1749.57701497,0.0,1.045
2009-05-14,13.45,13.10,13.30,13.10,-0.65,0.571428571429,0.5,13.67,12.9325,10.8681666667,-0.2,0.35,9.7547,111.402,1638.17501497,0.0,0.7375
2009-05-15,13.85,13.20,13.30,13.50,0.4,0.52808988764,0.56050955414,13.57,13.01,10.9598333333,0.2,0.65,10.0526,154.941,1626.25647651,0.0,0.56
2009-05-18,13.65,13.15,13.50,13.40,-0.1,0.421052631579,0.575163398693,13.45,13.06,11.0563333333,-0.1,0.5,9.9781,88.242,1626.25647651,0.0,0.39
2009-05-19,13.90,13.55,13.80,13.60,0.2,0.27868852459,0.638888888889,13.47,13.125,11.153,-0.2,0.35,10.1271,195.679,1486.48576222,0.0,0.345
2009-05-20,13.60,13.10,13.60,13.45,-0.15,0.333333333333,0.661870503597,13.41,13.175,11.2511666667,-0.15,0.5,10.0154,94.523,1524.29496222,0.0,0.235
2009-05-21,13.85,13.45,13.60,13.55,0.1,0.404255319149,0.646616541353,13.5,13.1975,11.3471666667,-0.05,0.4,10.0898,157.237,1445.67646222,0.0,0.3025
2009-05-22,13.40,13.20,13.30,13.30,-0.25,0.365384615385,0.573770491803,13.46,13.235,11.4363333333,0.0,0.2,9.9037,118.305,1445.67646222,0.0,0.225
2009-05-25,13.50,12.90,13.45,12.95,-0.35,0.387755102041,0.473214285714,13.37,13.27,11.5215,-0.5,0.6,9.643,130.544,1336.88979555,0.0,0.1
2009-05-26,13.30,12.80,12.85,12.90,-0.05,0.311111111111,0.387755102041,13.23,13.335,11.6065,0.05,0.5,9.6058,113.364,1268.87139555,0.0,-0.105
2009-05-27,13.40,13.00,13.00,13.00,0.1,0.470588235294,0.259259259259,13.14,13.425,11.6923333333,0.0,0.4,9.6803,152.536,1116.33539555,0.0,-0.285
2009-06-01,13.50,13.05,13.50,13.20,0.2,0.4,0.347222222222,13.07,13.505,11.7753333333,-0.3,0.45,9.8292,114.219,1078.26239555,0.0,-0.435
